6lw	Hydra Bow
Veteran's	Veteran's
Vicious	Vicious
Victorious	Victorious
Vigorous	Vigorous
Viridian	Viridian
Visionary	Visionary
Vodoun	Mojo
Volcanic	Volcanic
Vulpine	Vulpine
Wailing	Wailing
Warder's	Warden's
Warrior's	Warrior's
Weird	Weird
Witch-hunter's	Witch-hunter's
Wyrm's	Wyrm's
Yelling	Yelling
Zircon	Zircon
amu	Amulet
bey	Baal's Eye
cap	Cap
cm1	Small Charm
crs	Crystal Sword
dhn	Diablo's Horn
fhl	Full Helm
gcg	Chipped Emerald
glr	Flawless Ruby
gpb	Perfect Sapphire
gpg	Perfect Emerald
gpr	Perfect Ruby
gpv	Perfect Amethyst
gpw	Perfect Diamond
gpy	Perfect Topaz
gsc	Grand Scepter
hst	Horadric Staff
increaseswithplaylevelX	(Based on Character Level)
jew	Jewel
lrg	Large Shield
mbr	Mephisto's Brain
msf	Shaft of the Horadric Staff
oba	Swirling Crystal
of Absorption	of Absorption
of Acceleration	of Acceleration
of Accuracy	of Accuracy
of Ages	of Ages
of Alacrity	of Alacrity
of Amelioration	of Amelioration
of Amianthus	of Amianthus
of Amplify Damage	of Amplify Damage
of Anima	of Amicae
of Anthrax	of Anthrax
of Armageddon	of Armageddon
of Atlus	of Atlas
of Attraction	of Attract
of Avarice	of Avarice
of Balance	of Balance
of Bashing	of Bashing
of Battle Command	of Battle Command
of Battle Cry	of Battle Cry
of Battle Orders	of Battle Orders
of Blaze	of Blaze
of Blazing	of Blazing
of Blessed Hammers	of Blessed Hammer
of Blight	of Blight
of Bliss	of Bliss
of Blizzard	of Blizzard
of Blizzards	of Blizzard
of Blocking	of Blocking
of Blood Golem Summoning	of Blood Golem
of Bone Armor	of Bone Armor
of Bone Imprisonment	of Bone Prison
of Bone Spears	of Bone Spear
of Bone Spirits	of Bone Spirit
of Bone Walls	of Bone Wall
of Brilliance	of Brilliance
of Burning	of Burning
of Butchery	of Butchery
of Carnage	of Carnage
of Chain Lightning	of Chain Lightning
of Chance	of Chance
of Charged Bolts	of Charged Bolt
of Charged Shield	of Charged Bolt
of Charged Strike	of Charged Strike
of Chilling Armor	of Chilling Armor
of Clay Golem Summoning	of Clay Golem
of Cold Arrows	of Cold Arrow
of Concentration	of Concentration
of Confusion	of Confusion
of Conversion	of Conversion
of Coolness	of Coolness
of Corpse Explosions	of Corpse Explosion
of Craftsmanship	of Craftmanship
of Cyclone Armor	of Cyclone Armor
of Damage Amplification	of Amplify Damage
of Daring	of Daring
of Dawn	of Dawn
of Decrepification	of Decrepify
of Defiance	of Defiance
of Deflecting	of Deflecting
of Desire	of Desire
of Dexterity	of Dexterity
of Dim Vision	of Dim Vision
of Ease	of Ease
of Enchant	of Enchant
of Enchantment	of Enchantment
of Energy	of Energy
of Energy Shield	of Energy Shield
of Enlightenment	of Enlightenment
of Ennui	of Ennui
of Envy	of Envy
of Equilibrium	of Equilibrium
of Eruption	of Fissure
of Evisceration	of Evisceration
of Excellence	of Excellence
of Exploding Arrows	of Exploding Arrow
of Faith	of Faith
of Fast Repair	of Restoration
of Fending	of Fending
of Fervor	of Fervor
of Fire	of Fire
of Fire Arrows	of Fire Arrow
of Fire Ball	of Fire Ball
of Fire Balls	of Fire Ball
of Fire Bolts	of Fire Bolt
of Fire Golem Summoning	of Fire Golem
of Fire Quenching	of Quenching
of Fire Wall	of Fire Wall
of Fire Walls	of Fire Wall
of Firebolts	of Firebolts
of Firestorms	of Firestorms
of Fist of the Heavens	of Fist of the Heavens
of Flame	of Flame
of Fortune	of Fortune
of Freedom	of Freedom
of Freezing Arrows	of Freezing Arrow
of Frigidity	of Frigidity
of Frost	of Frost
of Frost Novas	of Frost Nova
of Frost Shield	of Frost Shield
of Frozen Armor	of Frozen Armor
of Frozen Orb	of Frozen Orb
of Frozen Orbs	of Frozen Orb
of Glacial Spike	of Glacial Spike
of Glacial Spikes	of Glacial Spike
of Good Luck	of Good Luck
of Gore	of Gore
of Grace	of Grace
of Grace and Power	of Grace and Power
of Greed	of Greed
of Grim Ward	of Grim Ward
of Grounding	of Grounding
of Guarding	of Guarding
of Guided Arrows	of Guided Arrow
of Haste	of Haste
of Health	of Health
of Holy Bolts	of Holy Bolt
of Honor	of Honor
of Hope	of Hope
of Howling	of Howl
of Hurricane	of Hurricane
of Hydra Shield	of Hydra Shield
of Hydras	of Hydra
of Ice Arrows	of Ice Arrow
of Ice Blast	of Ice Blast
of Ice Blasts	of Ice Blast
of Ice Bolts	of Ice Bolt
of Icebolt	of Icebolt
of Immolating Arrows	of Immolating Arrow
of Impaling Strike	of Impaling Strike
of Incineration	of Incineration
of Incombustibility	of Inflammability
of Inertia	of Inertia
of Inner Sight	of Inner Sight
of Insulation	of Insulation
of Ire	of Ire
of Iron Golem Creation	of Iron Golem
of Iron Maiden	of Iron Maiden
of Item Finding	of Find Item
of Jabbing	of Jab
of Joyfulness	of Joyfulness
of Knowledge	of Knowledge
of Life	of Life
of Life Everlasting	of Life Everlasting
of Life Tap	of Life Tap
of Light	of Light
of Lightning	of Lightning
of Lightning Fury	of Lightning Fury
of Lightning Javelin	of Lightning Javelin
of Lightning Strike	of Lightning Strike
of Lower Resistance	of Lower Resistance
of Luck	of Luck
of Magic Arrows	of Magic Arrow
of Maiming	of Maiming
of Malice	of Malice
of Measure	of Measure
of Memory	of Memory
of Meteor	of Meteor
of Meteors	of Meteor
of Might	of Might
of Molten Boulders	of Molten Boulder
of Multiple Shot	of Multiple Shot
of Negation	of Negation
of Nirvana	of Nirvana
of Nova	of Nova
of Nova Shield	of Nova Shield
of Novas	of Nova
of Pacing	of Pacing
of Passion	of Passion
of Perfection	of Perfection
of Performance	of Performance
of Pestilence	of Pestilence
of Piercing	of Piercing
of Plague Jab	of Plague Jab
of Poison Dagger	of Poison Dagger
of Poison Explosion	of Poison Explosion
of Poison Jab	of Poison Jab
of Poison Novas	of Poison Nova
of Potion Finding	of Find Potion
of Power	of Power
of Power Strike	of Power Strike
of Precision	of Precision
of Propogation	of Propogation
of Prosperity	of Prosperity
of Protection	of Protection
of Puncturing	of Puncturing
of Quality	of Quality
of Quickness	of Quickness
of Radiance	of Radiance
of Raise Skeletal Mages	of Skeletal Mages
of Raise Skeletons	of Raise Skeleton
of Razors	of Razors
of Readiness	of Readiness
of Regeneration	of Regeneration
of Regrowth	of Regrowth
of Remedy	of Remedy
of Replenishing	of Replenishing
of Resistance	of Resistance
of Revivification	of Revivification
of Sacrifice	of Sacrifice
of Self-Repair	of Self-Repair
of Shiver Armor	of Shiver Armor
of Shock	of Shock
of Shouting	of Shout
of Simplicity	of Simplicity
of Skill	of Skill
of Slaughter	of Slaughter
of Slaying	of Slaying
of Slow Missiles	of Slow Missile
of Sorcery	of Sorcery
of Speed	of Speed
of Spikes	of Spikes
of Spirit	of Spirit
of Stability	of Stability
of Static Field	of Static Field
of Stoicism	of Stoicism
of Storms	of Storms
of Strength	of Strength
of Stunning	of Stun
of Substinence	of Sustenance
of Sunlight	of Sunlight
of Swiftness	of Swiftness
of Swords	of Swords
of Taunting	of Taunt
of Teeth	of Teeth
of Telekinesis	of Telekinesis
of Teleport Shield	of Teleport Shield
of Teleportation	of Teleportation
of Terror	of Terror
of Thawing	of Thawing
of Thorns	of Thorns
of Thunder	of Thunder
of Thunder Storm	of Thunder Storm
of Tornado	of Tornado
of Transcendence	of Transcendence
of Traveling	of Transportation
of Truth	of Truth
of Twister	of Twister
of Vengeance	of Vengeance
of Venom	of Venom
of Vileness	of Vileness
of Virility	of Virility
of Vita	of Vita
of Volcano	of Volcano
of War Cry	of War Cry
of Warding	of Warding
of Warming	of Warming
of Warmth	of Thawing
of Weaken	of Weaken
of Wealth	of Wealth
of Winter	of Winter
of Wizardry	of Wizardry
of Worth	of Worth
of Wrath	of Wrath
of Zeal	of Zeal
of the Apprentice	of the Apprentice
of the Bat	of the Bat
of the Bear	of the Bear
of the Cobra	of the Cobra
of the Colosuss	of the Colossus
of the Dunes	of the Dunes
of the Dynamo	of the Dynamo
of the Efreeti	of the Efreeti
of the Elements	of the Elements
of the Elephant	of the Elephant
of the Fox	of the Fox
of the Giant	of the Giant
of the Glacier	of the Glacier
of the Icicle	of the Icicle
of the Jackal	of the Jackal
of the Kraken	of the Centaur
of the Lamprey	of the Lamprey
of the Leech	of the Leech
of the Locust	of the Locust
of the Magus	of the Magus
of the Mammoth	of the Mammoth
of the Mind	of the Mind
of the Ox	of the Ox
of the Phoenix	of the Phoenix
of the Sentinel	of the Sentinel
of the Sirocco	of the Scirocco
of the Squid	of the Squid
of the Sun	of the Sun
of the Tiger	of the Tiger
of the Titan	of the Titan
of the Vampire	of the Vampire
of the Whale	of the Whale
of the Wolf	of the Wolf
of the Wraith	of the Wraith
of the Yeti	of the Yeti
r05	Eth Rune
r06	Ith Rune
r07	Tal Rune
r08	Ral Rune
r09	Ort Rune
r10	Thul Rune
r11	Amn Rune
r12	Sol Rune
r13	Shael Rune
r14	Dol Rune
r15	Hel Rune
r17	Lum Rune
r19	Fal Rune
r22	Um Rune
r30	Ber Rune
r31	Jah Rune
r32	Cham Rune
r33	Zod Rune
skillname0	Attack
skillname1	Kick
skillname10	Jab
skillname100	Resist Fire
skillname101	Holy Bolt
skillname102	Holy Fire
skillname103	Thorns
skillname104	Defiance
skillname105	Resist Cold
skillname106	Zeal
skillname107	Charge
skillname108	Blessed Aim
skillname109	Cleansing
skillname11	Cold Arrow
skillname110	Resist Lightning
skillname111	Vengeance
skillname112	Blessed Hammer
skillname113	Concentration
skillname114	Holy Freeze
skillname115	Vigor
skillname116	Conversion
skillname117	Holy Shield
skillname118	Holy Shock
skillname119	Sanctuary
skillname12	Multiple Shot
skillname120	Meditation
skillname121	Fist of the Heavens
skillname122	Fanaticism
skillname123	Conviction
skillname124	Redemption
skillname125	Salvation
skillname126	Bash
skillname127	Sword Mastery
skillname128	Axe Mastery
skillname129	Mace Mastery
skillname13	Dodge
skillname130	Howl
skillname131	Find Potion
skillname132	Leap
skillname133	Double Swing
skillname134	Pole Arm Mastery
skillname135	Throwing Mastery
skillname136	Spear Mastery
skillname137	Taunt
skillname138	Shout
skillname139	Stun
skillname14	Power Strike
skillname140	Double Throw
skillname141	Increased Stamina
skillname142	Find Item
skillname143	Leap Attack
skillname144	Concentrate
skillname145	Iron Skin
skillname146	Battle Cry
skillname147	Frenzy
skillname148	Increased Speed
skillname149	Battle Orders
skillname15	Poison Javelin
skillname150	Grim Ward
skillname151	Whirlwind
skillname152	Berserk
skillname153	Natural Resistance
skillname154	War Cry
skillname155	Battle Command
skillname16	Exploding Arrow
skillname17	Slow Missiles
skillname18	Avoid
skillname19	Impale
skillname2	Throw
skillname20	Lightning Bolt
skillname21	Ice Arrow
skillname217	Scroll of Identify
skillname218	Tome of Identify
skillname219	Scroll of Townportal
skillname22	Guided Arrow
skillname220	Tome of Townportal
skillname23	Penetrate
skillname24	Charged Strike
skillname25	Plague Javelin
skillname26	Strafe
skillname27	Immolation Arrow
skillname28	Decoy
skillname29	Evade
skillname3	Unsummon
skillname30	Fend
skillname31	Freezing Arrow
skillname32	Valkyrie
skillname33	Pierce
skillname34	Lightning Strike
skillname35	Lightning Fury
skillname36	Fire Bolt
skillname37	Warmth
skillname38	Charged Bolt
skillname39	Ice Bolt
skillname4	Left Hand Throw
skillname40	Frozen Armor
skillname41	Inferno
skillname42	Static Field
skillname43	Telekinesis
skillname44	Frost Nova
skillname45	Ice Blast
skillname46	Blaze
skillname47	Fire Ball
skillname48	Nova
skillname49	Lightning
skillname5	Left Hand Swing
skillname50	Shiver Armor
skillname51	Fire Wall
skillname52	Enchant
skillname53	Chain Lightning
skillname54	Teleport
skillname55	Glacial Spike
skillname56	Meteor
skillname57	Thunder Storm
skillname58	Energy Shield
skillname59	Blizzard
skillname6	Magic Arrow
skillname60	Chilling Armor
skillname62	Hydra
skillname63	Lightning Mastery
skillname64	Frozen Orb
skillname65	Cold Mastery
skillname66	Amplify Damage
skillname67	Teeth
skillname68	Bone Armor
skillname69	Skeleton Mastery
skillname7	Fire Arrow
skillname70	Raise Skeleton
skillname71	Dim Vision
skillname72	Weaken
skillname73	Poison Dagger
skillname74	Corpse Explosion
skillname75	Clay Golem
skillname76	Iron Maiden
skillname77	Terror
skillname78	Bone Wall
skillname79	Golem Mastery
skillname8	Inner Sight
skillname80	Raise Skeletal Mage
skillname81	Confuse
skillname82	Life Tap
skillname83	Poison Explosion
skillname84	Bone Spear
skillname85	Blood Golem
skillname86	Attract
skillname87	Decrepify
skillname88	Bone Prison
skillname89	Summon Resist
skillname9	Critical Strike
skillname90	Iron Golem
skillname91	Lower Resist
skillname92	Poison Nova
skillname93	Bone Spirit
skillname94	Fire Golem
skillname95	Revive
skillname96	Sacrifice
skillname97	Smite
skillname98	Might
skillname99	Prayer
skillsname61	Fire Mastery
skz	Perfect Skull
strBSMagic	Magic
strModAllResistances	All Resistances +%d
strModEnhancedDamage	Enhanced damage
strModMagicDamage	+%d magic damage
tsc	Scroll of Town Portal
uap	Shako
uhl	Giant Conch
uth	Lacquered Plate
vip	Top of the Horadric Staff
xea	Serpentskin Armor
xhl	Basinet
xlt	Templar Coat
xsk	Death Mask
zmb	Mesh Belt
